10,4,1,396,1707,766,1229,225,849,1323,359,3323,202,572,40,60,7,287,36,1099,21,36,328,18,1310,83,2,1,12,7,35,33,1,2,9,0
4,4,1,396,1707,766,1229,225,849,1323,359,3323,202,572,40,60,7,287,36,1099,21,36,328,18,1310,83,2,1,12,7,35,33,1,2,9,0
1,1,1,396,1707,766,1229,225,849,1323,359,3323,202,572,40,60,7,287,36,1099,21,36,328,18,1310,83,2,1,12,7,35,33,1,2,9,0
396,396,396,396,1707,766,1229,225,849,1323,359,3323,202,572,40,60,7,287,36,1099,21,36,328,18,1310,83,2,1,12,7,35,33,1,2,9,0
1707,1707,1707,1707,1707,766,1229,225,849,1323,359,3323,202,572,40,60,7,287,36,1099,21,36,328,18,1310,83,2,1,12,7,35,33,1,2,9,0
766,766,766,766,766,766,1229,225,849,1323,359,3323,202,572,40,60,7,287,36,1099,21,36,328,18,1310,83,2,1,12,7,35,33,1,2,9,0
1229,1229,1229,1229,1229,1229,1229,225,849,1323,359,3323,202,572,40,60,7,287,36,1099,21,36,328,18,1310,83,2,1,12,7,35,33,1,2,9,0
225,225,225,225,225,225,225,225,849,1323,359,3323,202,572,40,60,7,287,36,1099,21,36,328,18,1310,83,2,1,12,7,35,33,1,2,9,0
849,849,849,849,849,849,849,849,849,1323,359,3323,202,572,40,60,7,287,36,1099,21,36,328,18,1310,83,2,1,12,7,35,33,1,2,9,0
1323,1323,1323,1323,1323,1323,1323,1323,1323,1323,359,3323,202,572,40,60,7,287,36,1099,21,36,328,18,1310,83,2,1,12,7,35,33,1,2,9,0
359,359,359,359,359,359,359,359,359,359,359,3323,202,572,40,60,7,287,36,1099,21,36,328,18,1310,83,2,1,12,7,35,33,1,2,9,0
3323,3323,3323,3323,3323,3323,3323,3323,3323,3323,3323,3323,202,572,40,60,7,287,36,1099,21,36,328,18,1310,83,2,1,12,7,35,33,1,2,9,0
202,202,202,202,202,202,202,202,202,202,202,202,202,572,40,60,7,287,36,1099,21,36,328,18,1310,83,2,1,12,7,35,33,1,2,9,0
572,572,572,572,572,572,572,572,572,572,572,572,572,572,40,60,7,287,36,1099,21,36,328,18,1310,83,2,1,12,7,35,33,1,2,9,0
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,60,7,287,36,1099,21,36,328,18,1310,83,2,1,12,7,35,33,1,2,9,0
60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,7,287,36,1099,21,36,328,18,1310,83,2,1,12,7,35,33,1,2,9,0
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,287,36,1099,21,36,328,18,1310,83,2,1,12,7,35,33,1,2,9,0
287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,36,1099,21,36,328,18,1310,83,2,1,12,7,35,33,1,2,9,0
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,1099,21,36,328,18,1310,83,2,1,12,7,35,33,1,2,9,0
1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,21,36,328,18,1310,83,2,1,12,7,35,33,1,2,9,0
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,36,328,18,1310,83,2,1,12,7,35,33,1,2,9,0
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,328,18,1310,83,2,1,12,7,35,33,1,2,9,0
328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,18,1310,83,2,1,12,7,35,33,1,2,9,0
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,1310,83,2,1,12,7,35,33,1,2,9,0
1310,1310,1310,1310,1310,1310,1310,1310,1310,1310,1310,1310,1310,1310,1310,1310,1310,1310,1310,1310,1310,1310,1310,1310,1310,83,2,1,12,7,35,33,1,2,9,0
83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,2,1,12,7,35,33,1,2,9,0
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,12,7,35,33,1,2,9,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,7,35,33,1,2,9,0
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,7,35,33,1,2,9,0
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,35,33,1,2,9,0
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,33,1,2,9,0
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,1,2,9,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,9,0
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,0
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
